instance,objective_value,status,solve_time,build_time,load_time,total_time,gap,error,file_path,time_periods,n_thermal_gens,n_renewable_gens,n_must_run,total_startup_categories,total_pwl_points,approx_binary_vars,approx_continuous_vars,approx_total_vars,approx_constraints,peak_demand,avg_demand,total_reserves
2015-07-01_lw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-07-01_lw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,112617,90330.79,239272.6
2015-11-02_hw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-11-02_hw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,91111,79278.06,210780.9
2015-05-01_lw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-05-01_lw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,84123,73517.17,163580.9
2015-01-01_hw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-01-01_hw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,102358,92450.0,205542.1
2015-06-01_lw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-06-01_lw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,101493,84281.0,193493.9
2015-01-01_lw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-01-01_lw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,102358,92450.0,205542.1
2015-09-01_hw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-09-01_hw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,138995,111523.67,549452.7
2015-04-01_lw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-04-01_lw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,96381,83304.1,197125.2
2015-08-01_lw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-08-01_lw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,123575,96875.71,234426.21
2015-10-01_lw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-10-01_lw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,86443,77715.38,205723.0
2015-05-01_hw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-05-01_hw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,84123,73517.17,163580.9
2015-02-01_lw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-02-01_lw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,120477,99059.35,216434.3
2015-06-01_hw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-06-01_hw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,101493,84281.0,193493.9
2015-09-01_lw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-09-01_lw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,138995,111523.67,549452.7
2015-07-01_hw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-07-01_hw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,112617,90330.79,239272.6
2015-02-01_hw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-02-01_hw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,120477,99059.35,216434.3
2015-12-01_hw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-12-01_hw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,98832,86785.21,219437.01
2015-12-01_lw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-12-01_lw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,98832,86785.21,219437.01
2015-06-01_reserves_0.json,41694.09558282677,optimal,48.79682421684265,9.744558095932007,0.004033088684082031,58.54541540145874,0.0,,./ca/2015-06-01_reserves_0.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30020.08,26541.78,0.0
2014-09-01_reserves_0.json,48240.9748118329,optimal,103.39226961135864,6.742430210113525,0.0075342655181884766,110.14223408699036,0.0,,./ca/2014-09-01_reserves_0.json,48,610,0,200,1220,1488,146400,159264,305664,355726,36856.37,28977.56,0.0
2015-03-01_reserves_0.json,31781.042253987074,optimal,108.13817262649536,7.737475156784058,0.0040857791900634766,115.87973356246948,0.0,,./ca/2015-03-01_reserves_0.json,48,610,0,200,1220,1488,146400,159264,305664,355726,26622.95,21657.83,0.0
